name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Mount Tazerzait,16804,Valid,L5,110000.0,Fell,1991.0,18.7,4.8,"(18.7, 4.8)",11.60824473564232,1,4.800000000000011,Niger,Africa,2081.684,4
Mount Vaisi,16805,Valid,Stone-uncl,17000.0,Fell,1637.0,44.08333,6.86667,"(44.08333, 6.86667)",9.741027444837728,1,6.866669999999999,France,Europe,4907.3562956,9
Mtola,16820,Valid,Stone-uncl,1100.0,Fell,1944.0,-11.5,33.5,"(-11.5, 33.5)",7.00397413672268,1,33.5,Malawi,Africa,1280.1799999999998,7
Muddoor,16841,Valid,L5,4400.0,Fell,1865.0,12.63333,77.01667,"(12.63333, 77.01667)",8.38958706681109,1,77.01666999999998,India,Asia,1406.3422956,5
Mulletiwu,16851,Valid,L,25.5,Fell,1795.0,9.33333,80.83333,"(9.33333, 80.83333)",3.277144732992177,1,80.83332999999999,Open Ocean,Open Ocean,1038.9862956,1
Muraid,16874,Valid,L6,4703.0,Fell,1924.0,24.5,90.21667,"(24.5, 90.21667)",8.456168489578463,1,90.21667000000002,Bangladesh,Asia,2727.34,5
Murchison,16875,Valid,CM2,100000.0,Fell,1969.0,-36.61667,145.2,"(-36.61667, 145.2)",11.51293546492023,1,145.2,Australia,Oceania,4076.1677044,7
Murray,16882,Valid,CM2,12600.0,Fell,1950.0,36.6,-88.1,"(36.6, -88.1)",9.441531454869692,1,-88.1,United States of America,North America,4074.312,0
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245.0,Fell,1964.0,26.13333,85.53333,"(26.13333, 85.53333)",7.127693699347399,1,85.53332999999998,India,Asia,2909.1622956,5
Nadiabondi,16889,Valid,H5,8165.0,Fell,1956.0,12.0,1.0,"(12.0, 1.0)",9.00773447187952,1,1.0,Burkina Faso,Africa,1335.84,7
Nagai,16890,Valid,L6,1810.0,Fell,1922.0,38.12167,140.06167,"(38.12167, 140.06167)",7.501634457883413,1,140.06167,Japan,Asia,4243.7043044,5
