name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Mount Magnet,16780,Valid,"Iron, IAB-sHH",16600.0,Found,1916.0,-28.16667,118.5,"(-28.16667, 118.5)",9.717218213494077,0,118.5,Australia,Oceania,3135.5137044,1
Mount Morris (New York),16782,Valid,H,12.5,Found,1897.0,42.7,-77.88333,"(42.7, -77.88333)",2.602689685444384,0,-77.88333,United States of America,North America,4753.364,2
Mount Morris (Wisconsin),16783,Valid,"Iron, IAB-an",676.0,Found,1937.0,44.0,-89.25,"(44.0, -89.25)",6.517671272912275,0,-89.25,United States of America,North America,4898.08,2
Mount Ouray,16784,Valid,"Iron, IID",900.0,Found,1898.0,38.41667,-106.21667,"(38.41667, -106.21667)",6.803505257608338,0,-106.21667,United States of America,North America,4276.5437044,2
Mount Sir Charles,16803,Valid,"Iron, IVA",22900.0,Found,1942.0,-23.83333,134.03333,"(-23.83333, 134.03333)",10.038935856711175,0,134.03332999999998,Australia,Oceania,2653.1262956,1
Mount Vernon,16806,Valid,"Pallasite, PMG",159000.0,Found,1868.0,36.93333,-87.4,"(36.93333, -87.4)",11.976665770490769,0,-87.4,United States of America,North America,4111.4182956,2
Mrirt,16819,Valid,Iron,79900.0,Found,1937.0,33.13333,-5.56667,"(33.13333, -5.56667)",11.2885436473206,0,-5.566669999999988,Morocco,Africa,3688.4022956,2
Mühlau,16843,Valid,OC,5.0,Found,1877.0,47.28333,11.41667,"(47.28333, 11.41667)",1.791759469228055,0,11.41667000000001,Austria,Europe,5263.5802956,0
Muizenberg,16844,Valid,L6,4610.0,Found,1880.0,-34.1,18.46667,"(-34.1, 18.46667)",8.436200032206706,0,18.466669999999997,Open Ocean,Open Ocean,3796.012,1
Mukinbudin,45813,Valid,H5,8200.0,Found,1938.0,-30.91667,118.2,"(-30.91667, 118.2)",9.012011377036412,0,118.2,Australia,Oceania,3441.6437044,1
Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000.0,Found,1911.0,-30.78333,127.55,"(-30.78333, 127.55)",16.993564429978885,0,127.55,Australia,Oceania,3426.8002956,1
Mungindi,16872,Valid,"Iron, IAB-sLM",51300.0,Found,1897.0,-28.93333,148.95,"(-28.93333, 148.95)",10.84546552414626,0,148.95,Australia,Oceania,3220.8582956,1
Muonionalusta,16873,Valid,"Iron, IVA",230000.0,Found,1906.0,67.8,23.1,"(67.8, 23.1)",12.345838935721968,0,23.099999999999994,Sweden,Europe,7547.495999999999,0
Murchison Downs,16876,Valid,"Iron, ungrouped",33.0,Found,1925.0,-26.66667,119.0,"(-26.66667, 119.0)",3.5263605246161616,0,119.0,Australia,Oceania,2968.5337044,1
Murfreesboro,16877,Valid,"Iron, ungrouped",8600.0,Found,1847.0,35.83333,-86.41667,"(35.83333, -86.41667)",9.05963375455148,0,-86.41667,United States of America,North America,3988.9662955999993,2
Murnpeowie,16878,Valid,"Iron, IC",1143000.0,Found,1909.0,-29.58333,139.9,"(-29.58333, 139.9)",13.949167817667204,0,139.89999999999998,Australia,Oceania,3293.2162956,1
Muroc,16879,Valid,L,18.4,Found,1936.0,34.91667,-117.83333,"(34.91667, -117.83333)",2.9652730660692823,0,-117.83333,United States of America,North America,3886.9237044,2
Muroc Dry Lake,16880,Valid,L6,223.0,Found,1936.0,34.91667,-117.83333,"(34.91667, -117.83333)",5.41164605185504,0,-117.83333,United States of America,North America,3886.9237044,2
Murphy,16881,Valid,"Iron, IIAB",7700.0,Found,1899.0,35.1,-84.03333,"(35.1, -84.03333)",8.94910546953925,0,-84.03333,United States of America,North America,3907.332,2
Nagy-Vázsony,16894,Valid,"Iron, IAB-sLL",2000.0,Found,1890.0,46.98333,17.7,"(46.98333, 17.7)",7.601402334583733,0,17.69999999999999,Hungary,Europe,5230.1842956,0
Naifa,16895,Valid,Iron,8.0,Found,1932.0,19.93333,51.21667,"(19.93333, 51.21667)",2.19722457733622,0,51.21666999999999,Saudi Arabia,Asia,2218.9782956,0
Nardoo (no. 1),16910,Valid,H5,3180.0,Found,1944.0,-29.53333,143.98333,"(-29.53333, 143.98333)",8.064950891749143,0,143.98333000000002,Australia,Oceania,3287.6502956,1
Nardoo (no. 2),16911,Valid,L6,1694.0,Found,1944.0,-29.5,144.06667,"(-29.5, 144.06667)",7.43543801981455,0,144.06667,Australia,Oceania,3283.94,1
Naretha,16913,Valid,L4,5500.0,Found,1915.0,-31.0,124.83333,"(-31.0, 124.83333)",8.612685172875459,0,124.83333,Australia,Oceania,3450.92,1
Narraburra,16915,Valid,"Iron, IIIAB",32200.0,Found,1855.0,-34.25,147.7,"(-34.25, 147.7)",10.379752786950895,0,147.7,Australia,Oceania,3812.71,1
Naruna (a),16916,Valid,H4,672.3,Found,1935.0,30.95,-98.26667,"(30.95, -98.26667)",6.512190995551235,0,-98.26667,United States of America,North America,3445.354,2
Naruna (b),16917,Valid,H4,513.3,Found,1942.0,30.95,-98.28333,"(30.95, -98.28333)",6.24280675278087,0,-98.28333,United States of America,North America,3445.354,2
Näs,16919,Valid,LL6,375.0,Found,1907.0,59.18333,12.21667,"(59.18333, 12.21667)",5.929589143389895,0,12.216669999999992,Sweden,Europe,6588.288295599999,0
Nashville (iron),16920,Valid,Iron,18000.0,Found,1934.0,35.96667,-77.96667,"(35.96667, -77.96667)",9.798182590890704,0,-77.96667,United States of America,North America,4003.8097044,2
Nashville (stone),16921,Valid,L6,25000.0,Found,1939.0,37.45,-98.41667,"(37.45, -98.41667)",10.12667110305036,0,-98.41667,United States of America,North America,4168.934,2
Navajo,16926,Valid,"Iron, IIAB",2184000.0,Found,1921.0,35.33333,-109.5,"(35.33333, -109.5)",14.596669073722286,0,-109.5,United States of America,North America,3933.3062956,2
Nazareth (a),16928,Valid,L6,44.0,Found,1938.0,34.5,-102.25,"(34.5, -102.25)",3.80666248977032,0,-102.25,United States of America,North America,3840.54,2
Neenach,16938,Valid,L6,13800.0,Found,1948.0,34.8,-118.5,"(34.8, -118.5)",9.53249633228804,0,-118.5,United States of America,North America,3873.9359999999992,2
Negrillos,16939,Valid,"Iron, IIAB",28500.0,Found,1936.0,-19.88333,-69.83333,"(-19.88333, -69.83333)",10.25769445336048,0,-69.83333,Chile,South America,2213.4122956,1
Nelson County,16942,Valid,"Iron, IIIF",73030.0,Found,1856.0,37.75,-85.5,"(37.75, -85.5)",11.198639287523283,0,-85.5,United States of America,North America,4202.33,2
Nenntmannsdorf,16943,Valid,"Iron, IIAB",12500.0,Found,1872.0,50.96667,13.95,"(50.96667, 13.95)",9.433563920090563,0,13.949999999999989,Germany,Europe,5673.6097044,0
Ness County (1894),16946,Valid,L6,82000.0,Found,1894.0,38.5,-99.6,"(38.5, -99.6)",11.31448672129398,0,-99.6,United States of America,North America,4285.82,2
Ness County (1938),16947,Valid,H4,652.0,Found,1938.0,38.48333,-99.91667,"(38.48333, -99.91667)",6.481577129276431,0,-99.91667,United States of America,North America,4283.9642956,2
Netschaëvo,16949,Valid,"Iron, IIE-an",250000.0,Found,1846.0,54.23333,35.15,"(54.23333, 35.15)",12.429220196836384,0,35.150000000000006,Russia,Europe,6037.2542956,0
New Almelo,16951,Valid,L5,8000.0,Found,1917.0,39.66667,-100.0,"(39.66667, -100.0)",8.987321812850125,0,-100.0,United States of America,North America,4415.6937044,2
New Baltimore,16952,Valid,"Iron, ungrouped",20000.0,Found,1922.0,40.0,-78.85,"(40.0, -78.85)",9.90353755128617,0,-78.85,United States of America,North America,4452.799999999999,2
New Leipzig,16955,Valid,"Iron, IAB-MG",20000.0,Found,1936.0,46.36667,-101.95,"(46.36667, -101.95)",9.90353755128617,0,-101.95,United States of America,North America,5161.5377044,2
New Mexico,16957,Valid,Iron,130.0,Found,1935.0,34.5,-107.0,"(34.5, -107.0)",4.875197323201151,0,-107.0,United States of America,North America,3840.54,2
New Westville,16961,Valid,"Iron, IVA",4800.0,Found,1941.0,39.8,-84.81667,"(39.8, -84.81667)",8.476579508530941,0,-84.81667,United States of America,North America,4430.535999999999,2
Newport,16962,Valid,"Pallasite, PMG",5600.0,Found,1923.0,35.6,-91.26667,"(35.6, -91.26667)",8.630700432209832,0,-91.26667,United States of America,North America,3962.992,2
Newsom,16963,Valid,L6,892.0,Found,1939.0,37.6,-105.83333,"(37.6, -105.83333)",6.794586580876499,0,-105.83333,United States of America,North America,4185.632,2
Niagara,16969,Valid,"Iron, IAB-sLL",115.0,Found,1879.0,48.0,-97.93333,"(48.0, -97.93333)",4.7535901911063645,0,-97.93333,United States of America,North America,5343.36,2
Nochtuisk,16986,Valid,Iron,8.0,Found,1876.0,59.98333,117.58333,"(59.98333, 117.58333)",2.19722457733622,0,117.58333,Russia,Europe,6677.3442956,0
Nocoleche,16987,Valid,"Iron, IC-an",20000.0,Found,1895.0,-29.86667,144.21667,"(-29.86667, 144.21667)",9.90353755128617,0,144.21667000000002,Australia,Oceania,3324.7577043999995,1
Norcateur,16991,Valid,L6,3200.0,Found,1940.0,39.81667,-100.2,"(39.81667, -100.2)",8.071218539969863,0,-100.2,United States of America,North America,4432.3917044,2
Nordheim,16992,Valid,"Iron, ungrouped",15150.0,Found,1932.0,28.86667,-97.61667,"(28.86667, -97.61667)",9.625821815359837,0,-97.61667,United States of America,North America,3213.4377044,2
Norfolk,16993,Valid,"Iron, IIIAB",23000.0,Found,1907.0,36.9,-76.3,"(36.9, -76.3)",10.043292972227004,0,-76.3,United States of America,North America,4107.708,2
Norin-Shibir,16995,Valid,"Iron, ungrouped",3.5,Found,1900.0,51.85,107.91667,"(51.85, 107.91667)",1.5040773967762742,0,107.91667,Russia,Europe,5771.942,0
Norquín,16996,Valid,"Iron, IIIAB",19250.0,Found,1945.0,-37.71667,-70.61667,"(-37.71667, -70.61667)",9.865318286418624,0,-70.61667,Argentina,South America,4198.6197044,1
North Chile,17001,Valid,"Iron, IIAB",300000.0,Found,1875.0,-23.0,-69.0,"(-23.0, -69.0)",12.611541086966117,0,-69.0,Chile,South America,2560.36,1
Novorybinskoe,17931,Valid,"Iron, IVA",3055.0,Found,1937.0,51.88333,71.25,"(51.88333, 71.25)",8.024862150286411,0,71.25,Kazakhstan,Asia,5775.6522956,0
Nuleri,17939,Valid,"Iron, IIIAB",120.0,Found,1902.0,-27.83333,123.86667,"(-27.83333, 123.86667)",4.795790545596741,0,123.86667,Australia,Oceania,3098.4062956,1
Nullarbor 001,17941,Valid,H5,40000.0,Found,1935.0,-31.0,132.0,"(-31.0, 132.0)",10.59665973278358,0,132.0,Australia,Oceania,3450.92,1
Oakley (iron),17972,Valid,"Iron, IIIF",111000.0,Found,1926.0,42.33333,-113.7,"(42.33333, -113.7)",11.6172944892629,0,-113.7,United States of America,North America,4712.546295599999,2
Oakley (stone),17973,Valid,H6,27700.0,Found,1895.0,38.95,-101.01667,"(38.95, -101.01667)",10.229223792606836,0,-101.01667,United States of America,North America,4335.914,2
Oberlin,17975,Valid,LL5,2500.0,Found,1911.0,39.8,-100.51667,"(39.8, -100.51667)",7.824445930877619,0,-100.51667,United States of America,North America,4430.535999999999,2
Obernkirchen,17976,Valid,"Iron, IVA",41000.0,Found,1863.0,52.26667,9.1,"(52.26667, 9.1)",10.62135173563291,0,9.099999999999994,Germany,Europe,5818.325704399999,0
